Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.05;1.83;3.98;2.97;1.72;1.90;2.06;2.31;4.77;9.78;12.54;4.59;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;73.97;24.31;—;—;—;—;—;—;21.02;17.36
Price/Book;0.77;1.87;5.01;2.28;2.35;1.88;3.16;6.39;18.36;12.24;8.08;10.32;4.27
Price/Forward Earnings;-6.33;—;-30.67;51.02;—;—;—;—;—;—;—;—;—
PEG Ratio;—;—;—;2.04;—;—;—;—;—;—;—;—;—
Earnings Yield %;-122.81;-18.16;-4.72;-5.13;-37.14;-17.93;-23.84;-15.95;-9.91;-6.82;-1.62;-13.71;—
Enterprise Value (Mil);25.88;52.67;132.57;124.55;65.23;41.67;51.51;61.74;153.33;297.51;392.94;138.32;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-3.67;-26.04;—
Enterprise Value/EBITDA;—;—;—;1,258.07;—;—;—;—;—;—;-3.99;-179.05;—
