Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.24;2.69;3.90;5.02;4.36;6.39;4.53;5.41;6.08;5.09;6.08;5.57;3.07
Price/Earnings;19.71;6.56;28.91;20.50;17.90;15.64;10.49;20.69;209.58;31.44;44.13;44.83;25.84
Price/Cash Flow;—;10.04;12.74;11.62;21.65;11.34;8.30;6.00;42.15;11.65;12.30;13.88;17.36
Price/Book;4.42;3.25;2.19;3.73;3.57;5.16;3.21;2.23;2.14;2.39;3.08;2.93;4.27
Price/Forward Earnings;17.86;5.34;81.97;—;—;—;—;72.46;30.40;21.23;83.33;—;—
PEG Ratio;1.19;—;—;—;—;—;—;4.81;2.03;1.41;5.56;—;—
Earnings Yield %;5.07;15.23;3.46;4.88;5.59;6.39;9.53;4.83;0.48;3.18;2.27;4.83;—
Enterprise Value (Bil);1.48;1.31;0.64;1.44;1.35;2.62;1.96;1.48;1.16;1.31;1.73;1.69;—
Enterprise Value/EBIT;9.85;3.09;9.26;8.29;7.47;9.07;5.26;7.08;26.80;13.63;23.34;14.41;—
Enterprise Value/EBITDA;8.53;2.91;6.38;6.73;5.93;7.70;4.57;5.48;9.75;7.40;11.10;7.62;—
