Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.59;1.47;2.12;2.97;3.10;1.31;1.28;0.75;1.13;1.39;1.47;1.25;3.07
Price/Earnings;—;—;—;—;53.29;49.94;—;—;—;—;—;—;25.84
Price/Cash Flow;64.56;—;63.76;42.85;19.99;18.01;—;—;—;—;—;1,493.49;17.36
Price/Book;1.70;1.83;2.80;4.02;3.44;1.52;1.29;0.99;3.37;6.04;5.36;2.43;4.27
Price/Forward Earnings;-29.15;-13.97;-76.92;32.68;21.41;-243.90;—;-14.25;—;—;—;38.25;—
PEG Ratio;—;—;—;1.64;—;—;—;—;—;—;—;—;—
Earnings Yield %;-9.71;-13.25;-3.37;-0.27;1.88;2.00;-17.06;-25.81;-33.00;-13.65;-7.68;-19.39;—
Enterprise Value (Bil);0.43;0.47;0.99;1.65;2.38;1.09;0.83;0.52;1.75;2.54;2.45;1.36;—
Enterprise Value/EBIT;—;—;—;245.97;38.76;31.42;—;—;—;—;-6.58;28.89;—
Enterprise Value/EBITDA;—;—;—;51.61;26.41;11.58;—;—;—;—;-11.93;226.65;—
