Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.60;0.82;0.84;0.84;0.73;1.20;1.36;0.79;1.36;1.69;1.91;1.23;3.07
Price/Earnings;—;16.44;70.22;—;—;83.80;39.88;—;57.11;—;47.93;62.91;25.84
Price/Cash Flow;6.04;8.67;12.25;10.63;38.06;17.89;18.04;12.87;19.59;33.45;28.42;19.98;17.36
Price/Book;1.39;1.76;1.63;1.99;2.23;3.74;3.43;2.70;4.55;5.02;3.71;3.68;4.27
Price/Forward Earnings;8.97;11.75;13.40;20.28;17.04;21.69;20.41;13.51;22.68;49.02;40.98;26.15;—
PEG Ratio;0.69;8.40;2.68;2.16;1.22;0.42;0.97;0.54;0.91;—;—;0.99;—
Earnings Yield %;-29.52;6.08;1.42;-7.71;-3.21;1.19;2.51;-6.56;1.75;-1.68;-1.38;-0.19;—
Enterprise Value (Bil);1.82;2.03;1.90;1.82;1.64;2.60;2.83;2.79;4.25;4.70;4.83;3.34;—
Enterprise Value/EBIT;—;13.88;61.75;—;—;32.26;21.88;—;33.49;—;78.36;-27.25;—
Enterprise Value/EBITDA;—;7.94;14.38;—;25.32;17.28;14.72;36.44;16.56;56.23;58.03;27.95;—
