Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.28;1.42;1.70;1.66;1.40;1.71;1.85;1.24;1.41;1.56;1.77;1.53;3.07
Price/Earnings;22.99;23.05;27.61;28.08;20.49;25.68;30.66;13.10;27.67;29.39;32.22;24.16;25.84
Price/Cash Flow;9.49;13.08;17.07;15.39;10.05;12.87;16.04;10.25;10.19;13.64;14.25;12.50;17.36
Price/Book;10.59;8.86;9.24;8.47;6.69;7.80;8.57;4.86;5.65;5.80;6.42;6.27;4.27
Price/Forward Earnings;18.55;20.08;22.57;22.99;18.21;22.62;25.58;14.53;19.49;22.73;25.51;21.69;—
PEG Ratio;1.05;1.78;1.87;1.89;1.50;1.99;2.20;0.72;2.48;1.92;1.70;2.08;—
Earnings Yield %;4.35;4.34;3.62;3.56;4.88;3.89;3.26;7.63;3.61;3.40;3.10;4.34;—
Enterprise Value (Bil);6.02;7.70;9.74;10.65;9.35;11.83;13.70;11.18;13.62;15.42;18.22;13.20;—
Enterprise Value/EBIT;14.36;14.52;17.20;17.69;13.24;16.44;20.37;15.87;20.90;21.65;23.77;19.02;—
Enterprise Value/EBITDA;9.59;10.14;11.99;12.04;9.03;10.98;13.10;9.90;11.99;12.50;14.00;12.80;—
