Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;2.85;4.02;3.64;2.00;1.55;1.64;1.88;2.54;3.07
Price/Earnings;—;—;—;—;—;33.85;24.30;5.09;—;—;91.77;—;25.84
Price/Cash Flow;—;—;—;—;24.03;23.43;22.54;37.44;10.63;8.67;8.99;28.56;17.36
Price/Book;—;—;—;—;1.50;1.84;1.61;0.80;0.76;0.86;0.98;1.16;4.27
Price/Forward Earnings;—;—;—;—;23.75;22.37;19.80;11.60;12.12;14.14;15.13;16.33;—
PEG Ratio;—;—;—;—;1.94;0.87;3.01;3.42;9.70;3.10;3.41;3.63;—
Earnings Yield %;—;—;—;—;-2.10;2.95;4.12;19.63;-27.61;-1.15;1.09;-1.30;—
Enterprise Value (Bil);—;—;—;—;117.42;135.05;124.82;83.52;67.59;68.09;74.24;94.14;—
Enterprise Value/EBIT;—;—;—;—;276.29;23.03;18.59;14.61;—;46.54;27.58;24.69;—
Enterprise Value/EBITDA;—;—;—;—;126.40;18.73;15.94;12.47;—;27.88;20.39;18.91;—
