Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.97;6.12;10.37;8.45;4.50;8.73;9.52;2.59;1.10;5.74;14.78;7.09;3.07
Price/Earnings;29.85;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;13.22;55.92;—;—;—;—;—;—;—;—;—;205.44;17.36
Price/Book;1.52;1.43;1.81;1.98;1.74;2.27;2.98;1.23;0.92;8.87;16.74;4.97;4.27
Price/Forward Earnings;24.27;-37.59;-16.10;—;—;—;—;—;—;-27.03;—;—;—
PEG Ratio;4.85;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.35;-9.91;-7.58;-14.64;-7.35;-13.73;-13.13;-36.04;-107.21;-6.58;-0.77;-26.98;—
Enterprise Value (Mil);159.98;120.09;141.26;134.34;92.64;105.50;163.74;27.73;10.25;194.07;675.18;168.69;—
Enterprise Value/EBIT;26.94;—;—;—;—;—;—;—;—;—;-3.46;-4.52;—
Enterprise Value/EBITDA;11.91;—;—;—;—;—;—;—;—;—;-3.75;-4.96;—
