Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.73;1.62;2.07;2.43;2.77;3.26;2.93;3.92;3.32;3.75;3.80;3.20;3.07
Price/Earnings;18.20;17.83;22.49;25.73;29.61;30.41;31.90;33.56;29.00;37.96;37.96;30.31;25.84
Price/Cash Flow;12.25;15.26;16.96;18.47;24.25;25.05;25.74;29.87;22.40;32.73;28.03;24.80;17.36
Price/Book;3.62;4.01;4.69;4.74;5.30;7.26;6.01;7.22;5.88;6.32;6.43;6.04;4.27
Price/Forward Earnings;17.04;15.02;20.62;24.51;27.10;29.94;25.38;33.11;—;—;—;27.33;—
PEG Ratio;1.79;1.50;2.06;2.45;3.18;4.61;2.54;3.31;—;—;—;3.19;—
Earnings Yield %;5.49;5.61;4.45;3.89;3.38;3.29;3.13;2.98;3.45;2.63;2.63;3.34;—
Enterprise Value (Bil);1.76;1.80;2.27;2.33;2.96;3.73;3.39;4.65;4.25;4.90;5.15;3.89;—
Enterprise Value/EBIT;11.06;11.21;14.30;15.36;18.26;19.29;20.13;26.24;23.63;28.99;28.50;22.01;—
Enterprise Value/EBITDA;9.88;9.96;12.67;13.58;16.05;17.15;17.50;22.72;19.90;23.48;23.04;19.00;—
