Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;0.59;0.71;1.19;0.98;2.98;—;3.07
Price/Earnings;—;—;—;—;—;—;—;22.75;—;22.75;21.48;—;25.84
Price/Cash Flow;—;—;—;—;—;—;19.04;11.28;11.20;12.36;11.18;—;17.36
Price/Book;—;—;—;—;—;—;1.64;1.72;1.30;1.63;1.52;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;18.83;28.25;15.31;16.92;15.41;—;—
PEG Ratio;—;—;—;—;—;—;1.57;—;—;—;—;—;—
Earnings Yield %;—;—;—;—;—;—;-11.01;4.40;-0.17;4.40;-22.52;1.05;—
Enterprise Value (Bil);—;—;—;—;—;—;5.25;6.19;5.55;4.17;3.76;5.29;—
Enterprise Value/EBIT;—;—;—;—;—;—;13.96;23.43;17.76;—;15.85;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;8.23;11.71;9.19;17.23;16.78;11.18;—
