Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.41;0.29;0.37;0.82;0.73;0.77;0.76;0.85;1.27;1.39;1.35;0.91;3.07
Price/Earnings;128.58;—;—;—;233.50;—;48.53;12.15;36.64;39.77;78.76;33.43;25.84
Price/Cash Flow;52.67;—;65.63;274.18;19.11;25.32;32.02;21.63;25.87;22.47;12.98;28.46;17.36
Price/Book;0.94;1.20;1.54;3.61;3.12;3.19;3.03;2.89;4.42;3.80;3.77;3.07;4.27
Price/Forward Earnings;29.94;-3.84;56.18;—;39.53;48.08;31.35;24.69;27.25;20.37;18.52;37.55;—
PEG Ratio;1.20;—;5.62;—;—;—;2.09;—;—;—;—;—;—
Earnings Yield %;0.78;-73.74;-0.73;-2.84;0.43;-0.38;2.06;8.23;2.63;2.51;1.27;3.86;—
Enterprise Value (Mil);112.91;111.28;134.38;241.18;205.79;206.55;207.65;289.99;478.89;455.31;468.26;300.66;—
Enterprise Value/EBIT;30.24;—;117.16;—;80.48;197.09;37.18;59.48;27.40;26.64;51.49;47.05;—
Enterprise Value/EBITDA;11.85;—;13.84;74.46;18.66;21.44;17.01;24.52;20.28;19.59;28.87;19.61;—
