Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.29;1.44;2.11;1.97;1.49;2.34;2.50;1.72;2.04;2.61;2.93;2.16;3.01
Price/Earnings;16.51;15.91;22.22;21.00;25.95;27.68;22.07;23.26;19.42;34.39;35.29;26.28;25.53
Price/Cash Flow;18.07;12.51;18.24;15.35;10.74;17.10;19.76;16.34;16.13;20.83;21.18;17.26;17.03
Price/Book;2.63;2.97;4.09;3.87;3.63;6.69;6.36;5.40;7.21;9.75;9.78;6.88;4.19
Price/Forward Earnings;14.08;13.85;17.99;16.45;14.45;22.22;21.14;14.73;18.94;24.81;24.33;20.65;—
PEG Ratio;0.80;1.46;1.38;1.26;1.52;2.74;1.79;1.13;2.01;2.72;1.76;2.00;—
Earnings Yield %;6.06;6.29;4.50;4.76;3.85;3.61;4.53;4.30;5.15;2.91;2.83;4.15;—
Enterprise Value (Bil);3.05;3.77;5.47;5.13;3.66;5.35;6.25;5.21;6.43;7.55;8.38;5.99;—
Enterprise Value/EBIT;11.02;10.09;14.17;12.80;16.77;18.32;15.77;14.07;15.90;26.40;27.27;18.64;—
Enterprise Value/EBITDA;9.00;8.59;12.02;10.89;12.94;15.00;13.49;11.79;13.30;20.53;21.72;15.00;—
