Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.48;1.74;2.51;2.94;2.45;3.15;3.84;2.19;4.82;6.33;6.85;4.03;3.07
Price/Earnings;7.68;66.91;47.76;20.24;17.42;21.02;16.76;10.32;21.56;26.83;26.30;18.96;25.84
Price/Cash Flow;6.48;8.05;17.79;17.31;12.81;13.58;14.08;9.53;15.65;30.37;30.68;16.86;17.36
Price/Book;1.85;1.28;1.87;2.49;2.27;2.69;3.96;3.90;8.37;12.47;16.50;6.61;4.27
Price/Forward Earnings;9.69;11.99;15.58;18.66;14.18;13.81;12.92;9.35;19.76;20.58;19.46;14.77;—
PEG Ratio;1.33;0.57;0.64;4.03;2.28;2.38;1.78;1.32;2.91;1.47;0.91;1.89;—
Earnings Yield %;13.02;1.49;2.09;4.94;5.74;4.76;5.97;9.69;4.64;3.73;3.80;5.67;—
Enterprise Value (Bil);3.12;4.76;7.69;11.09;10.63;14.28;25.60;19.70;40.50;66.80;88.72;34.65;—
Enterprise Value/EBIT;4.59;40.86;36.32;12.95;10.97;13.03;11.10;6.25;16.07;21.15;22.09;13.37;—
Enterprise Value/EBITDA;4.12;14.56;14.92;9.71;8.51;10.27;9.78;5.66;14.39;19.45;20.56;11.86;—
