Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.79;3.25;5.73;6.63;9.03;6.44;5.80;5.10;8.54;11.45;16.12;7.75;3.07
Price/Earnings;21.53;23.57;36.60;39.92;50.51;31.95;28.47;27.69;54.62;80.91;108.55;46.60;25.84
Price/Cash Flow;15.91;16.25;25.56;40.57;39.54;28.00;22.45;18.90;35.54;49.36;56.16;31.94;17.36
Price/Book;5.12;7.33;12.68;16.36;25.29;19.91;17.28;19.67;33.37;35.55;45.89;27.66;4.27
Price/Forward Earnings;16.89;19.76;28.17;31.85;40.65;25.97;38.46;30.49;52.36;70.42;93.46;45.16;—
PEG Ratio;1.69;1.98;2.82;3.18;—;—;—;—;—;4.38;4.51;—;—
Earnings Yield %;4.64;4.24;2.73;2.50;1.98;3.13;3.51;3.61;1.83;1.24;0.92;2.60;—
Enterprise Value (Bil);0.74;1.08;2.12;2.91;4.70;3.66;3.29;2.65;4.98;6.54;9.22;4.39;—
Enterprise Value/EBIT;13.65;13.50;22.12;23.68;31.10;19.44;17.26;18.54;39.81;58.92;79.98;32.54;—
Enterprise Value/EBITDA;11.87;12.61;20.84;22.56;29.65;18.56;16.47;17.47;37.50;54.46;74.35;30.51;—
