Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;14.69;11.59;15.24;13.02;6.13;4.38;4.81;0.68;—;3.83;5.47;3.24;3.07
Price/Earnings;—;—;—;1,153.00;55.12;49.22;40.68;5.77;—;—;18.29;37.60;25.84
Price/Cash Flow;—;—;—;134.45;47.18;73.61;24.83;3.53;—;—;15.93;25.36;17.36
Price/Book;7.08;16.96;25.67;15.30;10.01;7.90;9.83;1.37;—;78.26;85.76;13.68;4.27
Price/Forward Earnings;—;42.74;91.74;46.08;23.04;30.58;45.25;—;—;—;—;34.30;—
PEG Ratio;—;2.84;6.13;3.08;—;—;—;—;—;—;—;—;—
Earnings Yield %;-13.27;-2.34;-0.57;0.09;1.81;2.03;2.46;17.32;—;-7.38;-6.61;1.68;—
Enterprise Value (Bil);0.09;0.34;0.91;1.20;0.96;0.95;1.36;0.16;—;1.04;1.44;0.84;—
Enterprise Value/EBIT;—;—;—;1,153.41;45.07;54.45;44.05;5.24;—;—;19.11;34.90;—
Enterprise Value/EBITDA;—;—;—;388.81;40.31;42.21;37.20;4.43;—;—;184.43;37.17;—
