Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.48;0.71;1.03;0.41;0.28;0.51;0.54;0.08;0.11;0.35;0.64;0.34;3.07
Price/Earnings;—;—;30.56;7.21;—;65.61;28.65;—;—;—;24.72;48.79;25.84
Price/Cash Flow;6.33;—;3.37;2.30;—;6.38;7.18;1.07;—;5.56;8.16;6.14;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;4.27
Price/Forward Earnings;18.38;11.86;13.97;7.10;7.16;11.70;—;3.08;-19.08;24.81;—;31.17;—
PEG Ratio;10.94;0.73;0.22;0.38;—;—;—;—;—;—;—;—;—
Earnings Yield %;-71.66;-5.19;3.27;13.86;-17.86;1.52;3.49;-50.50;-42.38;-6.40;-0.10;-13.61;—
Enterprise Value (Bil);2.17;1.35;1.34;0.51;-1.30;-1.02;-0.94;-1.54;-1.42;-1.62;-1.17;-1.18;—
Enterprise Value/EBIT;12.65;21.73;9.54;3.65;—;—;—;—;—;—;12.67;30.62;—
Enterprise Value/EBITDA;9.93;12.67;7.10;2.63;—;—;—;—;—;—;7.66;10.14;—
