Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;5.19;3.16;1.29;0.46;1.62;2.84;13.37;15.25;3.59;3.07
Price/Earnings;—;—;—;—;—;12.79;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;32.99;27.51;3.71;4.42;—;43.80;—;138.66;27.63;17.36
Price/Book;—;—;—;5.62;3.49;1.17;0.51;1.62;4.22;9.83;12.63;3.56;4.27
Price/Forward Earnings;—;—;—;-178.57;24.21;10.60;—;—;—;-83.33;—;20.79;—
PEG Ratio;—;—;—;—;1.67;—;—;—;—;—;—;—;—
Earnings Yield %;—;—;—;-2.41;-2.43;7.82;-168.45;-44.77;-6.86;-1.99;-1.43;-35.49;—
Enterprise Value (Bil);—;—;—;0.50;0.67;0.17;-0.05;0.09;0.38;3.44;4.28;0.76;—
Enterprise Value/EBIT;—;—;—;—;—;11.18;—;—;—;—;-1.16;—;—
Enterprise Value/EBITDA;—;—;—;—;200.19;3.21;—;—;136.40;—;280.50;—;—
