Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.13;2.30;3.33;3.57;3.56;3.33;3.35;2.20;2.08;2.77;3.70;2.74;3.07
Price/Earnings;21.28;19.76;31.54;29.35;31.91;29.01;25.32;19.20;18.04;26.97;43.23;24.11;25.84
Price/Cash Flow;17.88;18.57;37.97;24.82;25.91;28.57;23.80;16.24;17.59;15.37;19.32;20.11;17.36
Price/Book;3.69;3.71;5.87;5.89;5.45;5.50;5.73;3.64;3.32;3.53;4.85;4.34;4.27
Price/Forward Earnings;17.06;16.86;23.53;24.04;22.78;22.57;21.88;14.88;15.63;22.22;22.62;19.97;—
PEG Ratio;1.02;0.89;1.05;1.07;1.08;1.13;1.46;1.06;—;—;—;1.29;—
Earnings Yield %;4.70;5.06;3.17;3.41;3.13;3.45;3.95;5.21;5.54;3.71;2.31;4.61;—
Enterprise Value (Bil);2.05;2.64;5.09;6.15;6.88;8.18;8.41;7.60;8.13;8.80;11.20;8.19;—
Enterprise Value/EBIT;14.86;14.35;22.54;21.23;22.63;20.69;18.12;18.88;15.23;21.05;30.38;18.87;—
Enterprise Value/EBITDA;12.97;12.52;19.06;18.65;19.81;17.79;15.95;15.53;12.34;16.74;23.19;15.73;—
