Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.78;6.74;10.79;10.76;14.17;15.74;19.53;18.80;29.08;33.59;25.16;23.28;3.07
Price/Earnings;26.41;22.20;34.86;39.84;45.18;47.24;51.82;49.84;71.67;78.59;58.98;59.67;25.84
Price/Cash Flow;17.07;16.36;26.43;29.56;35.70;81.69;45.42;39.97;58.19;81.76;69.00;58.61;17.36
Price/Book;3.82;5.44;8.81;8.20;11.18;12.21;14.86;13.75;20.70;24.16;18.13;16.98;4.27
Price/Forward Earnings;21.19;22.78;29.94;33.56;41.49;47.62;44.05;41.32;62.50;70.42;57.80;54.53;—
PEG Ratio;1.06;2.50;1.46;3.43;2.94;3.74;2.72;—;—;—;—;3.10;—
Earnings Yield %;3.79;4.50;2.87;2.51;2.21;2.12;1.93;2.01;1.40;1.27;1.70;1.73;—
Enterprise Value (Bil);0.91;1.23;2.52;2.46;3.92;5.35;7.45;7.74;14.04;21.45;17.60;11.20;—
Enterprise Value/EBIT;12.26;14.21;24.72;22.43;27.14;30.04;36.75;36.94;57.53;62.98;45.63;44.65;—
Enterprise Value/EBITDA;11.27;12.98;21.81;19.44;24.09;27.25;33.70;33.37;51.37;56.39;40.72;40.26;—
