Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.90;1.59;2.29;2.21;2.36;2.01;1.73;1.96;2.14;1.57;1.94;1.83;3.07
Price/Earnings;25.03;25.11;39.14;31.41;32.95;30.26;30.45;32.28;33.00;58.57;63.92;38.98;25.84
Price/Cash Flow;18.03;15.07;17.99;18.63;18.72;12.82;13.85;18.83;17.01;10.82;11.83;14.57;17.36
Price/Book;3.88;3.06;4.53;4.11;4.19;3.31;3.07;3.43;3.55;2.41;2.88;3.06;4.27
Price/Forward Earnings;19.53;18.35;31.65;29.94;30.49;21.19;25.45;25.45;25.71;27.32;33.33;28.30;—
PEG Ratio;0.90;0.92;1.58;1.50;—;1.41;1.62;1.41;1.43;1.82;2.22;1.74;—
Earnings Yield %;4.00;3.98;2.56;3.18;3.04;3.30;3.28;3.10;3.03;1.71;1.56;3.00;—
Enterprise Value (Bil);1.26;1.25;1.95;2.11;2.45;2.25;2.25;2.67;3.26;2.53;2.94;2.53;—
Enterprise Value/EBIT;14.80;16.46;24.03;19.77;20.52;19.39;18.67;21.01;25.30;37.55;40.63;24.74;—
Enterprise Value/EBITDA;11.60;12.32;17.52;15.05;15.53;14.27;13.43;14.88;17.37;18.10;19.63;17.45;—
