Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.35;4.69;5.42;7.85;10.27;9.18;11.05;7.58;8.52;11.23;10.11;9.52;3.07
Price/Earnings;31.77;28.41;35.67;43.34;51.72;39.83;46.20;29.30;31.93;41.66;33.44;37.37;25.84
Price/Cash Flow;29.59;33.63;34.15;39.81;121.67;97.53;34.20;27.47;30.11;39.96;35.84;43.36;17.36
Price/Book;8.61;13.59;11.77;13.11;6.49;7.39;9.51;6.87;8.30;10.55;8.77;8.63;4.27
Price/Forward Earnings;24.88;22.37;27.93;32.57;37.74;28.82;34.48;24.88;28.01;35.59;33.90;31.74;—
PEG Ratio;1.29;1.09;1.76;1.39;1.68;1.36;1.73;1.58;2.24;2.77;3.51;2.16;—
Earnings Yield %;3.15;3.52;2.80;2.31;1.93;2.51;2.16;3.41;3.13;2.40;2.99;2.73;—
Enterprise Value (Bil);7.33;8.44;10.70;17.18;27.44;24.72;34.60;25.59;32.80;47.16;46.99;33.10;—
Enterprise Value/EBIT;16.92;15.33;19.39;24.92;39.39;23.27;29.24;20.57;23.56;30.47;27.93;25.55;—
Enterprise Value/EBITDA;16.34;14.78;18.65;24.03;37.85;22.45;28.14;19.68;22.55;29.28;27.00;24.58;—
