Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.21;0.21;0.31;0.41;0.38;0.32;0.51;0.48;0.52;1.36;1.67;0.66;3.07
Price/Earnings;11.66;26.55;18.50;31.96;70.03;—;—;27.04;—;82.03;63.60;187.76;25.84
Price/Cash Flow;5.61;5.34;7.25;12.08;16.28;17.74;24.62;19.46;30.09;5.98;5.46;25.36;17.36
Price/Book;1.88;1.98;2.50;3.29;3.05;2.22;2.58;2.55;2.40;4.83;5.79;2.99;4.27
Price/Forward Earnings;9.59;13.68;12.63;16.26;15.85;18.42;30.30;—;—;34.72;31.85;22.04;—
PEG Ratio;0.96;1.37;1.26;1.08;1.06;1.23;2.52;—;—;3.47;3.19;1.67;—
Earnings Yield %;8.58;3.77;5.40;3.13;1.43;-3.18;-0.99;3.70;-0.19;1.22;1.57;0.16;—
Enterprise Value (Bil);0.28;0.29;0.38;0.63;1.17;0.89;0.78;0.84;0.83;1.82;2.64;1.07;—
Enterprise Value/EBIT;7.34;12.12;9.41;18.81;21.93;57.25;82.95;18.50;97.63;18.44;16.74;125.17;—
Enterprise Value/EBITDA;5.47;7.50;6.87;11.67;10.58;12.45;21.81;11.57;28.71;15.19;13.73;21.91;—
