Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;1.60;0.47;0.34;0.86;1.05;0.75;1.27;0.92;0.99;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;6.98;7.14;—;26.28;—;17.36
Price/Book;—;—;—;1.18;1.16;0.66;1.82;1.65;1.33;1.19;1.10;1.70;4.27
Price/Forward Earnings;—;—;—;39.06;-2.22;—;—;-19.01;-50.76;-33.56;45.25;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;1.29;—;—
Earnings Yield %;—;—;—;-16.94;-39.17;-86.90;-39.85;-12.37;-16.50;-18.19;-21.87;-31.46;—
Enterprise Value (Mil);—;—;—;22.77;16.43;10.21;29.69;44.34;40.67;110.48;102.58;55.18;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;905.44;22.97;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;46.77;19.80;—;26.85;-14.43;—
