Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.73;0.79;2.53;2.56;1.08;1.75;2.11;1.23;2.95;3.97;3.62;2.35;3.07
Price/Earnings;—;—;19.25;13.78;7.78;—;6.39;2.62;17.18;31.72;22.40;17.57;25.84
Price/Cash Flow;2.90;3.26;12.69;7.36;3.42;7.14;4.58;2.08;5.86;10.24;8.50;5.77;17.36
Price/Book;0.75;0.87;2.52;3.49;1.19;1.96;2.11;1.05;1.64;2.15;2.16;1.81;4.27
Price/Forward Earnings;16.42;17.42;11.09;9.42;16.23;11.17;4.35;3.53;22.57;20.04;7.56;11.15;—
PEG Ratio;3.16;1.74;0.74;0.60;—;0.11;—;—;3.59;0.89;0.29;—;—
Earnings Yield %;-2.86;-17.67;5.20;7.26;12.85;-1.37;15.66;38.23;5.82;3.15;4.46;10.93;—
Enterprise Value (Bil);6.42;7.64;25.95;39.75;18.52;29.61;50.44;34.14;58.32;83.01;90.16;52.03;—
Enterprise Value/EBIT;20.63;—;17.12;12.89;8.54;97.08;6.03;2.20;14.66;26.13;19.63;23.51;—
Enterprise Value/EBITDA;2.59;5.51;7.82;7.66;3.73;8.84;4.02;1.66;6.23;9.40;8.38;5.72;—
