Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.47;4.26;2.55;3.51;4.30;1.62;3.03;2.65;2.48;2.47;4.25;2.60;3.07
Price/Earnings;18.21;18.66;10.04;19.13;34.81;13.13;23.05;42.13;—;—;348.83;76.58;25.84
Price/Cash Flow;14.10;14.89;8.16;24.50;20.03;9.06;17.92;21.08;22.62;—;20.81;18.94;17.36
Price/Book;3.05;3.35;2.25;3.42;4.50;1.54;2.74;1.93;1.89;1.64;2.79;2.10;4.27
Price/Forward Earnings;14.64;14.10;9.85;18.87;25.64;16.34;—;15.97;23.09;400.00;—;64.35;—
PEG Ratio;1.37;0.75;0.89;1.72;1.48;—;—;0.98;1.80;—;—;4.02;—
Earnings Yield %;5.49;5.36;9.96;5.23;2.87;7.62;4.34;2.37;-0.77;-13.20;-9.77;-1.03;—
Enterprise Value (Bil);1.42;1.86;1.19;2.28;2.93;1.19;2.30;2.22;2.19;1.62;2.48;1.95;—
Enterprise Value/EBIT;8.71;9.40;4.56;10.47;19.36;9.19;17.49;56.88;—;—;216.75;37.47;—
Enterprise Value/EBITDA;8.32;8.99;4.40;9.69;16.54;7.50;12.52;22.52;34.99;—;27.92;17.93;—
