Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.95;9.42;26.35;2,214.89;234.60;223.29;101.33;16.14;15.17;9.00;9.14;108.64;3.07
Price/Earnings;12.32;93.50;—;—;—;—;—;649.18;488.59;98.81;23.77;275.55;25.84
Price/Cash Flow;—;—;—;—;—;—;—;73.08;102.54;38.72;34.11;162.03;17.36
Price/Book;8.13;3.22;4.87;7.62;10.92;9.56;19.83;14.49;17.26;11.14;7.64;15.78;4.27
Price/Forward Earnings;156.25;-17.48;-32.47;-35.46;—;-28.65;-121.95;37.04;30.67;32.57;37.59;202.53;—
PEG Ratio;6.30;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.12;1.07;-4.07;-3.22;-1.70;-3.75;-2.86;0.15;0.20;1.01;4.21;-0.70;—
Enterprise Value (Bil);0.36;0.32;0.47;1.53;4.50;3.01;6.72;6.23;9.73;8.53;8.77;7.40;—
Enterprise Value/EBIT;9.16;223.76;—;—;—;—;—;155.36;166.81;62.32;69.60;-51.24;—
Enterprise Value/EBITDA;8.96;153.92;—;—;—;—;—;143.04;149.76;58.69;64.96;-54.26;—
