Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.47;2.02;2.99;2.79;4.91;2.97;2.79;3.94;7.82;13.58;11.34;5.99;3.07
Price/Earnings;—;1,859.07;207.06;193.27;—;—;—;157.63;1,462.50;—;1,051.50;781.05;25.84
Price/Cash Flow;—;—;68.87;28.17;91.13;26.29;58.17;31.43;83.47;—;485.59;289.29;17.36
Price/Book;11.34;12.18;8.75;4.25;9.65;3.35;4.21;3.92;6.17;9.06;6.51;5.48;4.27
Price/Forward Earnings;—;62.11;45.25;48.08;78.74;39.84;40.32;28.33;76.92;172.41;—;86.92;—
PEG Ratio;—;3.10;2.26;2.40;—;—;1.35;—;—;—;—;—;—
Earnings Yield %;-2.86;0.05;0.48;0.52;-0.02;-2.68;-3.95;0.63;0.07;-0.07;-0.18;-1.13;—
Enterprise Value (Bil);0.07;0.12;0.18;0.23;0.57;0.75;0.84;1.18;3.02;5.97;5.27;2.26;—
Enterprise Value/EBIT;—;102.56;83.47;107.14;636.32;328.21;—;117.74;407.93;—;706.20;460.71;—
Enterprise Value/EBITDA;105.97;24.70;27.43;30.56;74.80;35.52;46.29;37.64;83.74;303.07;370.39;98.60;—
