Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.34;0.52;0.88;0.79;1.04;3.17;5.41;3.68;5.49;5.60;6.78;4.75;3.07
Price/Earnings;16.43;12.40;16.53;14.33;—;5.58;11.21;6.87;11.98;13.21;10.92;9.73;25.84
Price/Cash Flow;7.20;—;—;—;—;—;—;—;—;12.79;34.38;29.01;17.36
Price/Book;0.74;0.98;1.53;1.84;1.19;1.12;1.34;1.15;1.55;1.33;2.21;1.32;4.27
Price/Forward Earnings;—;7.59;11.56;9.78;9.30;9.19;10.10;8.45;9.72;—;11.24;9.31;—
PEG Ratio;—;—;—;—;—;3.06;3.37;2.82;—;—;—;—;—
Earnings Yield %;6.09;8.06;6.05;6.98;—;17.92;8.92;14.56;8.34;7.57;9.15;11.20;—
Enterprise Value (Bil);0.08;0.14;0.19;0.24;0.30;0.41;0.56;0.63;0.87;0.83;1.28;0.67;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;6.75;6.74;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;6.68;6.51;—
