Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.14;0.15;0.20;0.21;0.18;0.28;0.22;0.21;0.35;0.32;0.42;0.27;3.07
Price/Earnings;7.88;8.39;14.02;14.07;12.82;18.13;14.23;11.23;15.48;16.65;19.35;14.70;25.84
Price/Cash Flow;10.09;11.55;9.60;18.86;11.29;48.44;—;5.54;11.83;6.41;11.55;97.63;17.36
Price/Book;1.19;1.10;1.35;1.41;1.39;2.04;1.66;1.53;2.25;2.12;2.52;1.88;4.27
Price/Forward Earnings;7.51;5.79;8.97;—;—;—;—;—;—;12.14;14.35;—;—
PEG Ratio;0.50;0.39;0.60;—;—;—;—;—;—;1.21;1.43;—;—
Earnings Yield %;12.69;11.92;7.13;7.11;7.80;5.51;7.03;8.91;6.46;6.01;5.17;7.01;—
Enterprise Value (Bil);0.73;0.70;0.91;0.97;0.87;1.50;1.68;1.60;3.17;2.89;3.76;2.06;—
Enterprise Value/EBIT;5.09;4.66;7.47;7.45;6.57;10.99;9.69;7.29;13.57;11.33;13.34;9.75;—
Enterprise Value/EBITDA;4.01;3.66;5.56;5.66;5.09;8.52;7.87;6.21;11.63;8.94;10.92;7.98;—
