Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.42;1.14;2.03;3.29;4.31;3.08;2.61;2.15;2.20;1.57;2.05;2.26;3.07
Price/Earnings;49.63;93.03;36.29;37.54;39.71;28.29;—;—;—;—;58.06;43.72;25.84
Price/Cash Flow;14.91;17.18;30.29;23.56;36.29;16.38;67.66;45.82;17.90;23.04;20.66;29.65;17.36
Price/Book;1.01;1.25;2.45;3.55;4.18;2.80;2.98;2.81;2.77;1.72;2.14;2.53;4.27
Price/Forward Earnings;15.77;18.59;19.57;26.11;24.63;18.28;18.73;19.80;—;—;18.32;21.51;—
PEG Ratio;1.02;0.85;0.89;1.19;1.12;0.83;—;—;—;—;—;0.99;—
Earnings Yield %;3.92;1.16;2.76;2.66;2.52;3.53;-0.26;-1.62;-2.64;-2.84;-1.21;-0.76;—
Enterprise Value (Bil);0.25;0.35;0.71;1.13;1.51;1.04;1.21;1.21;1.15;0.69;0.85;1.05;—
Enterprise Value/EBIT;16.87;70.48;—;—;—;—;58.53;—;—;—;34.74;52.39;—
Enterprise Value/EBITDA;10.26;19.74;—;—;—;—;26.56;39.93;—;61.14;48.07;34.62;—
