Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.09;1.10;2.25;2.95;3.45;3.97;3.19;2.38;3.55;2.75;3.23;3.14;3.07
Price/Earnings;—;220.86;—;—;44.72;85.27;50.42;103.25;85.93;—;46.72;83.62;25.84
Price/Cash Flow;7.53;5.26;14.75;17.87;41.11;26.30;18.35;12.28;17.75;15.66;16.15;18.35;17.36
Price/Book;1.18;1.26;2.55;3.60;3.90;4.74;3.96;3.18;4.60;3.22;4.13;3.94;4.27
Price/Forward Earnings;12.32;16.03;25.84;29.76;36.76;32.68;25.51;19.76;30.12;23.75;29.67;30.12;—
PEG Ratio;0.96;1.34;1.40;1.80;1.27;1.64;1.72;—;—;4.84;0.56;1.54;—
Earnings Yield %;-0.40;0.45;-0.09;-0.83;2.24;1.17;1.98;0.97;1.16;-0.36;-1.45;1.06;—
Enterprise Value (Bil);0.59;0.82;1.59;2.31;2.70;3.87;3.54;3.08;4.57;3.43;4.22;3.68;—
Enterprise Value/EBIT;—;21.07;59.02;314.25;19.88;36.24;31.60;60.37;44.80;78.98;3,577.90;171.19;—
Enterprise Value/EBITDA;—;9.03;18.26;32.62;13.23;19.60;15.39;17.15;19.31;18.65;29.38;18.06;—
