Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;28.75;14.43;12.78;7.05;13.59;14.50;27.20;14.96;25.91;27.86;23.08;21.31;3.07
Price/Earnings;—;122.00;73.11;15.00;259.24;66.24;84.63;61.56;74.39;103.05;71.39;78.70;25.84
Price/Cash Flow;179.24;67.66;48.31;31.56;23.03;36.91;71.95;27.93;58.80;82.12;60.26;52.80;17.36
Price/Book;5.04;3.39;4.36;2.88;5.64;5.33;13.06;6.55;12.44;12.45;10.88;9.43;4.27
Price/Forward Earnings;48.78;31.95;31.55;21.88;42.92;53.19;57.80;33.78;52.91;56.50;54.05;55.80;—
PEG Ratio;1.50;1.06;1.05;0.73;—;—;—;—;1.76;1.88;1.80;—;—
Earnings Yield %;-0.55;0.82;1.37;6.67;0.39;1.51;1.18;1.62;1.34;0.97;1.40;1.41;—
Enterprise Value (Bil);1.35;0.94;1.35;1.00;2.18;2.36;7.76;3.93;9.19;10.28;9.64;6.27;—
Enterprise Value/EBIT;—;63.27;48.03;16.19;92.98;39.24;62.99;39.60;66.04;81.41;54.58;58.31;—
Enterprise Value/EBITDA;—;33.34;28.90;12.69;54.02;29.53;51.05;30.52;53.25;63.11;44.95;44.76;—
