Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.49;5.75;5.90;6.61;4.45;5.34;5.23;1.58;2.19;1.82;2.42;3.35;3.01
Price/Earnings;24.25;23.05;23.44;25.85;—;30.26;34.33;49.07;—;14.95;42.39;57.06;25.53
Price/Cash Flow;12.66;13.06;13.57;13.71;8.77;11.48;11.40;4.33;7.86;4.69;5.55;8.20;17.03
Price/Book;1.18;1.27;1.36;1.23;1.11;1.43;1.33;1.07;0.93;0.67;0.87;1.09;4.19
Price/Forward Earnings;23.58;16.56;18.80;17.39;—;—;—;—;—;—;—;—;—
PEG Ratio;7.64;7.23;8.21;7.60;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.12;4.30;4.27;3.87;-17.27;3.30;2.91;2.04;-7.22;6.69;2.36;1.15;—
Enterprise Value (Bil);1.38;1.82;1.88;2.70;2.28;2.60;3.38;3.46;4.07;3.27;3.44;3.46;—
Enterprise Value/EBIT;27.44;27.10;25.42;38.90;—;47.42;48.06;50.53;76.44;17.66;23.63;47.34;—
Enterprise Value/EBITDA;16.10;15.28;14.43;20.24;—;20.55;22.42;14.09;13.02;7.46;8.64;15.78;—
