Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;1.14;1.21;2.15;3.64;0.97;2.58;2.43;3.06;2.62;2.53;3.07
Price/Earnings;—;—;213.81;—;—;22.49;18.13;—;2.02;—;13.60;37.59;25.84
Price/Cash Flow;—;—;2.71;3.12;6.62;11.24;3.50;8.76;5.43;15.04;14.57;8.97;17.36
Price/Book;—;—;15.09;—;—;—;—;—;—;2.01;1.95;—;4.27
Price/Forward Earnings;—;—;—;24.33;22.32;16.56;14.20;14.43;13.44;15.41;14.20;14.43;—
PEG Ratio;—;—;—;—;—;—;—;1.22;3.60;3.22;—;—;—
Earnings Yield %;—;—;0.47;-349.84;-35.38;4.45;5.52;-41.74;49.56;-6.45;-2.64;1.06;—
Enterprise Value (Bil);—;—;1.16;1.01;1.54;1.38;1.72;2.25;2.45;4.82;4.87;2.48;—
Enterprise Value/EBIT;—;—;2.91;3.90;5.72;5.12;5.44;4.01;6.84;13.90;18.70;7.09;—
Enterprise Value/EBITDA;—;—;2.70;3.35;4.66;3.85;3.99;3.26;4.87;9.78;12.54;5.16;—
