Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;1.42;0.94;2.99;2.11;—;3.07
Price/Earnings;—;—;—;—;—;—;—;36.81;—;—;400.25;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;16.72;18.95;20.89;—;17.36
Price/Book;—;—;—;—;1.27;1.27;1.37;1,028.87;301.45;51.13;11.56;158.84;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;17.42;39.68;37.88;—;—
PEG Ratio;—;—;—;—;—;—;—;—;1.16;2.65;2.53;—;—
Earnings Yield %;—;—;—;—;—;—;-3.58;2.72;-1.15;-0.76;-1.18;-2.50;—
Enterprise Value (Bil);—;—;—;—;0.19;0.19;0.16;0.33;0.49;2.07;1.82;0.64;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;96.12;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;166.05;—;69.33;—;—
