Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.51;1.53;1.75;1.93;1.29;1.86;2.49;1.81;1.98;1.83;1.92;1.96;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;36.15;—;—;93.52;31.23;—;17.36
Price/Book;1.26;1.60;1.75;2.72;2.91;4.22;3.63;3.03;7.01;2.90;2.44;4.03;4.27
Price/Forward Earnings;17.09;34.25;-370.37;—;—;31.85;69.44;42.92;19.72;-106.38;46.51;148.52;—
PEG Ratio;—;—;—;—;—;1.06;2.31;1.43;0.66;—;—;—;—
Earnings Yield %;-12.68;-3.78;-7.94;-12.56;-23.91;-7.38;-5.33;-4.11;-8.45;-7.27;-5.59;-7.15;—
Enterprise Value (Mil);37.49;63.94;63.43;78.75;57.56;71.33;114.16;89.82;190.04;301.57;298.97;151.00;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-30.09;-12.89;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;187.66;45.83;-17.28;—
