Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.60;0.68;1.95;1.69;0.93;1.54;2.44;1.38;2.00;2.35;3.93;2.04;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;294.14;25.84
Price/Cash Flow;—;22.92;108.79;—;—;—;13.74;64.84;—;—;58.01;60.12;17.36
Price/Book;2.26;2.81;6.01;6.25;2.31;4.69;5.39;2.40;3.00;3.83;3.59;3.88;4.27
Price/Forward Earnings;-120.48;22.42;-43.67;22.62;—;46.73;63.29;41.49;-26.11;-12.25;—;43.77;—
PEG Ratio;—;1.49;—;0.76;—;2.33;3.17;2.07;—;—;—;1.61;—
Earnings Yield %;-21.90;-13.84;-13.49;-6.80;-18.07;-18.57;0.00;-6.55;-4.59;-22.34;-20.62;-9.26;—
Enterprise Value (Mil);26.42;27.81;84.60;89.57;40.05;63.66;196.25;82.99;133.40;138.44;151.38;120.24;—
Enterprise Value/EBIT;—;—;—;—;—;—;49.11;—;—;—;-14.21;-3.58;—
Enterprise Value/EBITDA;—;—;—;—;—;—;25.15;—;—;—;41.89;-19.83;—
