Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.16;0.90;1.23;0.97;0.67;0.57;1.22;1.94;1.73;2.29;1.86;1.41;3.07
Price/Earnings;18.72;84.00;—;—;—;—;—;41.62;13.92;36.34;46.38;51.33;25.84
Price/Cash Flow;5.80;6.69;8.21;24.19;14.86;—;19.55;23.87;21.76;20.67;20.59;27.07;17.36
Price/Book;1.17;0.85;1.35;1.90;1.48;1.39;3.20;5.28;3.47;4.18;3.45;3.14;4.27
Price/Forward Earnings;9.36;11.59;9.17;—;—;—;27.03;19.19;24.33;33.00;25.77;—;—
PEG Ratio;0.92;0.97;0.76;—;—;—;0.90;0.77;—;—;—;—;—
Earnings Yield %;5.34;-21.13;-18.26;-57.33;-10.49;-9.84;-1.91;2.40;7.18;2.75;2.16;0.23;—
Enterprise Value (Bil);0.40;0.28;0.34;0.23;0.15;0.13;0.33;0.74;0.73;1.05;0.90;0.53;—
Enterprise Value/EBIT;9.14;—;—;—;—;—;—;36.03;100.67;28.03;32.54;11.89;—
Enterprise Value/EBITDA;5.56;—;—;—;308.60;—;93.75;26.70;42.04;20.90;21.12;10.27;—
