Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.28;1.07;1.47;1.40;1.49;0.95;1.10;0.69;0.26;0.33;0.37;0.68;3.07
Price/Earnings;13.54;23.01;22.32;32.33;20.39;19.21;22.20;6.87;—;6.86;3.79;13.52;25.84
Price/Cash Flow;17.15;7.30;15.39;12.05;11.22;8.98;8.73;7.90;2.95;2.05;2.23;6.11;17.36
Price/Book;1.45;1.53;2.23;2.37;3.23;1.85;2.40;1.52;0.76;1.26;1.46;1.49;4.27
Price/Forward Earnings;16.16;5.69;8.49;20.33;17.12;15.24;15.31;9.04;4.32;7.98;8.36;11.40;—
PEG Ratio;—;0.44;0.65;1.02;—;—;5.11;—;—;—;—;—;—
Earnings Yield %;7.39;4.35;4.48;3.09;4.90;5.21;4.50;14.55;-9.49;14.59;26.38;5.68;—
Enterprise Value (Bil);14.72;14.56;19.07;18.71;18.56;15.44;17.61;15.37;10.44;10.33;11.60;13.95;—
Enterprise Value/EBIT;9.74;12.11;17.29;16.18;14.54;13.97;15.48;9.64;—;8.65;6.50;13.33;—
Enterprise Value/EBITDA;6.98;8.09;11.03;10.29;9.93;7.87;9.09;6.95;21.10;5.83;4.97;11.68;—
