Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.24;0.84;1.37;1.37;0.76;0.68;0.73;0.71;0.99;3.72;1.67;1.25;3.07
Price/Earnings;15.85;—;—;—;—;—;—;—;—;—;—;71.24;25.84
Price/Cash Flow;7.89;—;—;—;—;—;—;—;—;392.93;47.74;289.19;17.36
Price/Book;0.90;0.82;1.71;1.96;0.71;1.14;1.81;2.63;12.77;19.78;2.56;6.18;4.27
Price/Forward Earnings;20.28;-3.64;-25.13;-8.16;—;—;—;—;—;—;—;—;—
PEG Ratio;2.03;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.31;-72.60;-7.89;-10.47;-128.78;-70.59;-40.51;-38.42;-18.77;-6.88;-23.49;-34.42;—
Enterprise Value (Mil);1.14;7.67;62.68;74.20;12.92;17.95;21.67;13.23;34.20;102.43;32.41;34.35;—
Enterprise Value/EBIT;0.11;—;—;—;—;—;—;—;—;—;13.48;-3.18;—
Enterprise Value/EBITDA;0.09;—;—;—;—;—;—;—;—;—;28.19;-4.55;—
