Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.13;15.80;12.50;1.32;3.20;0.41;1.08;1.14;1.26;2.99;3.35;1.38;3.01
Price/Earnings;109.43;—;—;5.12;—;3.31;—;—;—;240.20;73.48;213.50;25.53
Price/Cash Flow;83.23;39.15;30.97;12.21;—;—;—;44.09;21.22;31.07;40.39;32.85;17.03
Price/Book;10.88;—;—;—;—;—;6.15;87.88;100.00;46.56;22.16;86.32;4.19
Price/Forward Earnings;33.00;27.32;36.23;—;—;—;—;-400.00;41.84;59.17;48.08;—;—
PEG Ratio;1.12;0.91;1.21;—;—;—;—;—;—;2.37;—;—;—
Earnings Yield %;0.91;-10.45;-13.21;19.53;-34.69;30.22;-6.35;-11.82;-1.54;0.42;-9.27;-0.31;—
Enterprise Value (Bil);2.07;0.95;0.70;0.44;0.21;0.04;0.32;1.19;1.89;3.45;6.81;1.57;—
Enterprise Value/EBIT;59.13;—;—;1.87;—;0.13;39.65;—;23.07;25.10;48.59;7.80;—
Enterprise Value/EBITDA;48.11;—;—;1.81;—;0.12;14.19;61.13;14.20;16.90;32.26;34.26;—
