Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.65;3.15;6.12;10.45;12.13;10.40;10.61;12.91;17.41;31.19;25.57;16.77;3.07
Price/Earnings;—;13.96;19.49;55.00;108.81;154.10;63.65;99.51;185.00;233.70;139.24;148.56;25.84
Price/Cash Flow;—;14.60;16.97;27.69;70.76;117.05;317.40;55.88;79.86;155.91;177.54;125.57;17.36
Price/Book;1.57;2.33;4.35;5.66;7.68;6.26;2.74;3.82;4.61;9.33;7.12;14.83;4.27
Price/Forward Earnings;—;32.15;18.05;—;—;—;49.02;75.19;82.64;212.77;142.86;103.35;—
PEG Ratio;—;—;—;—;—;—;4.46;6.85;—;—;—;—;—
Earnings Yield %;-0.86;7.17;5.13;1.82;0.92;0.65;1.57;1.00;0.54;0.43;0.72;0.85;—
Enterprise Value (Bil);0.06;0.16;0.37;0.59;0.86;0.96;1.52;2.23;4.56;10.21;10.65;3.95;—
Enterprise Value/EBIT;—;13.76;15.35;36.81;69.02;70.85;111.37;97.91;124.32;168.02;113.45;118.00;—
Enterprise Value/EBITDA;84.04;10.50;13.57;29.79;50.75;51.76;70.64;57.63;82.22;118.14;86.60;77.39;—
