Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;1.26;0.93;0.97;1.47;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;19.15;9.80;9.78;12.29;—;17.36
Price/Book;—;—;—;—;0.31;0.34;3.15;—;—;—;100.52;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;23.42;8.82;29.50;23.87;—;—
PEG Ratio;—;—;—;—;—;—;—;0.78;0.35;1.97;2.39;—;—
Earnings Yield %;—;—;—;—;—;—;-2.28;-16.89;-1.55;-5.64;-3.89;-9.71;—
Enterprise Value (Mil);—;—;—;—;50.08;56.16;466.41;307.06;348.17;412.06;436.50;325.71;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;10.46;30.67;36.02;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;9.90;20.77;21.49;—;—
