Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;0.07;2.37;3.50;2.11;1.03;2.04;2.12;2.27;3.07
Price/Earnings;—;—;—;—;1.97;16.95;22.55;8.97;9.94;22.07;24.49;16.13;25.84
Price/Cash Flow;—;—;—;—;0.14;6.40;7.56;3.75;3.72;15.55;18.87;7.66;17.36
Price/Book;—;—;—;—;2.29;5.22;6.41;3.70;2.58;2.14;2.15;3.99;4.27
Price/Forward Earnings;—;—;—;—;—;—;12.80;18.62;20.83;23.15;21.19;16.95;—
PEG Ratio;—;—;—;—;—;—;0.09;—;—;—;—;—;—
Earnings Yield %;—;—;—;—;50.68;5.90;4.44;11.15;10.06;4.53;4.08;6.58;—
Enterprise Value (Mil);—;—;—;—;196.06;569.42;849.89;604.62;385.56;299.97;302.89;562.19;—
Enterprise Value/EBIT;—;—;—;—;2.43;3.85;5.87;2.35;1.88;4.15;4.63;3.59;—
Enterprise Value/EBITDA;—;—;—;—;2.36;3.80;5.79;2.34;1.87;4.10;4.56;3.55;—
