Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;5.98;3.42;4.21;6.09;8.88;11.66;11.51;7.04;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;25,914.34;233.00;65.34;607.95;1,003.36;374.90;152.96;361.27;17.36
Price/Book;—;—;—;—;11.98;10.87;25.88;15.93;32.45;55.17;57.92;28.66;4.27
Price/Forward Earnings;—;—;—;—;—;-16.23;—;3,333.33;—;303.03;10,000.00;3,206.58;—
PEG Ratio;—;—;—;—;—;—;—;207.73;—;—;—;—;—
Earnings Yield %;—;—;—;—;-20.82;-7.97;-5.31;-3.92;-1.96;-1.84;-2.11;-4.28;—
Enterprise Value (Bil);—;—;—;—;0.50;0.43;0.73;1.38;2.81;4.85;5.66;2.03;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-26.85;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-32.16;—;—
