Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.48;0.53;1.05;1.01;0.70;0.60;0.55;0.25;0.32;0.27;0.54;0.41;3.01
Price/Earnings;21.47;18.29;33.43;31.55;22.05;24.10;56.40;26.72;—;—;29.65;43.36;25.53
Price/Cash Flow;4.66;5.49;10.19;9.80;6.21;5.75;5.83;2.82;5.41;—;9.23;5.80;17.03
Price/Book;1.38;1.61;3.10;3.03;2.14;1.96;1.94;0.88;1.16;1.95;4.52;1.69;4.19
Price/Forward Earnings;15.58;13.85;21.37;19.53;—;22.57;21.05;—;—;—;18.02;20.06;—
PEG Ratio;1.03;0.89;1.37;1.25;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.66;5.47;2.99;3.17;4.54;4.15;1.77;3.74;-2.51;-91.37;-19.61;-18.56;—
Enterprise Value (Bil);0.53;0.61;1.13;1.22;0.99;1.02;1.00;0.56;1.12;1.00;1.16;0.95;—
Enterprise Value/EBIT;20.87;14.27;24.92;25.38;17.34;24.75;60.52;40.62;—;—;103.03;50.79;—
Enterprise Value/EBITDA;6.57;6.19;10.96;11.08;7.49;8.23;9.18;5.10;17.68;—;10.98;9.68;—
