Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.06;1.66;2.55;1.75;2.02;0.91;1.71;0.66;2.35;1.44;2.29;1.23;3.07
Price/Earnings;19.53;—;57.90;—;—;—;—;21.00;—;—;22.00;13.41;25.84
Price/Cash Flow;15.18;65.85;15.57;—;—;—;—;—;—;—;6.15;9.13;17.36
Price/Book;1.04;1.63;1.94;1.16;1.48;0.86;2.16;0.60;3.15;1.50;1.28;1.40;4.27
Price/Forward Earnings;10.59;18.69;64.52;-9.62;-27.47;—;—;—;—;—;19.05;—;—
PEG Ratio;—;1.10;2.15;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.12;-3.41;1.73;-10.82;-14.09;-83.48;-24.94;4.76;-18.62;-32.86;-42.50;-34.73;—
Enterprise Value (Mil);144.99;225.15;282.24;107.35;164.56;49.24;107.39;21.76;146.31;54.70;42.08;61.12;—
Enterprise Value/EBIT;4.89;—;86.98;—;—;—;—;—;—;—;17.30;-10.07;—
Enterprise Value/EBITDA;3.41;33.75;21.17;—;—;—;43.87;—;—;—;10.28;13.84;—
