Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.99;5.84;6.21;5.31;4.99;4.60;4.79;4.64;4.55;3.61;3.55;4.45;3.07
Price/Earnings;45.50;5.67;49.86;50.00;45.22;34.23;29.78;28.55;35.75;27.70;663.00;67.17;25.84
Price/Cash Flow;21.48;24.62;22.11;17.42;17.59;14.48;14.05;13.95;16.29;14.41;15.25;14.70;17.36
Price/Book;11.11;3.76;7.51;16.84;343.95;—;—;—;—;—;178.57;165.15;4.27
Price/Forward Earnings;26.60;26.11;32.05;30.40;26.25;26.18;22.83;21.55;28.57;22.73;26.53;26.14;—
PEG Ratio;0.41;1.04;1.28;1.22;1.31;1.75;1.52;—;2.31;1.43;0.59;1.72;—
Earnings Yield %;2.20;17.65;2.01;2.00;2.21;2.92;3.36;3.50;2.80;3.61;0.15;3.02;—
Enterprise Value (Bil);8.92;17.12;24.27;24.43;26.20;27.00;31.29;31.33;39.83;34.86;36.40;33.21;—
Enterprise Value/EBIT;15.26;23.15;27.16;25.39;21.95;19.08;19.69;18.70;24.74;20.16;59.76;23.13;—
Enterprise Value/EBITDA;10.47;17.02;21.04;19.98;17.91;16.00;16.59;15.93;19.60;15.42;31.05;17.83;—
