Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.39;0.40;0.39;0.38;0.34;0.39;0.51;0.45;0.59;0.48;0.70;0.48;3.07
Price/Earnings;15.14;99.95;—;29.68;22.34;39.65;19.42;12.84;19.46;—;8.90;22.08;25.84
Price/Cash Flow;17.12;33.74;54.63;9.33;15.38;11.52;16.51;11.23;10.58;12.44;20.92;12.83;17.36
Price/Book;5.79;2.43;2.90;2.54;2.17;2.42;2.74;1.88;2.57;3.72;3.82;2.50;4.27
Price/Forward Earnings;13.51;10.16;17.01;21.93;19.12;22.17;20.83;11.49;14.25;24.04;27.25;18.98;—
PEG Ratio;0.92;0.78;1.31;1.69;1.47;1.58;2.08;1.15;—;—;—;1.64;—
Earnings Yield %;6.60;0.82;-0.04;3.37;4.48;2.52;5.15;7.79;5.14;-27.09;-19.25;0.01;—
Enterprise Value (Bil);0.37;0.76;0.86;0.80;0.76;0.82;0.99;0.76;1.77;1.35;1.37;1.14;—
Enterprise Value/EBIT;10.13;74.59;43.18;18.16;16.70;20.02;12.02;8.75;20.32;—;87.67;20.11;—
Enterprise Value/EBITDA;8.60;32.39;16.66;10.82;9.75;10.63;9.29;7.23;15.49;—;26.69;11.91;—
