Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.68;2.70;2.93;2.51;2.41;1.88;11.24;8.22;3.63;—;2.39;7.83;3.07
Price/Earnings;18.52;7.66;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;19.11;10.05;—;—;26.95;—;—;—;—;—;—;—;17.36
Price/Book;4.99;2.36;1.88;1.78;1.92;1.42;6.26;3.37;1.76;2.96;4.80;3.78;4.27
Price/Forward Earnings;17.76;9.80;-169.49;47.17;-9.88;-6.61;—;-11.67;-2.76;-3.14;—;18.90;—
PEG Ratio;—;0.45;—;2.15;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.40;13.05;-2.94;-18.76;-12.60;-18.06;-5.22;-11.20;-35.71;-40.47;-34.89;-20.21;—
Enterprise Value (Bil);0.69;0.60;0.52;0.40;0.37;0.29;1.76;0.78;0.17;0.30;0.43;0.78;—
Enterprise Value/EBIT;13.24;7.56;—;—;—;—;—;—;—;—;-33.70;-13.23;—
Enterprise Value/EBITDA;12.04;6.71;—;—;—;—;—;—;—;—;-65.07;-29.93;—
