Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.25;0.27;1.53;1.62;1.83;0.48;0.52;0.35;0.65;2.26;4.94;1.12;3.07
Price/Earnings;—;—;—;29.69;76.95;—;—;—;—;233.09;10.63;122.46;25.84
Price/Cash Flow;—;22.77;14.42;—;—;—;6.87;—;—;—;—;11.13;17.36
Price/Book;0.76;0.67;3.36;2.45;2.68;0.72;1.68;—;—;—;13.82;27.90;4.27
Price/Forward Earnings;—;-16.98;40.49;18.35;19.49;-20.41;33.67;70.92;22.03;62.50;81.30;73.00;—
PEG Ratio;—;—;—;—;6.07;—;—;—;—;—;—;—;—
Earnings Yield %;-62.28;-53.56;-2.28;3.37;1.30;-35.85;-47.69;-164.79;-12.88;0.43;9.41;-40.35;—
Enterprise Value (Bil);1.22;1.04;3.89;3.70;4.73;2.83;3.02;2.47;2.12;4.98;5.15;3.00;—
Enterprise Value/EBIT;—;—;—;25.41;67.64;—;—;—;—;33.25;8.44;-32.25;—
Enterprise Value/EBITDA;—;—;41.17;15.05;23.55;—;—;—;—;23.32;7.99;0.97;—
