Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;10.03;17.76;10.93;15.09;13.29;12.27;9.71;18.91;18.33;6.03;14.37;3.07
Price/Earnings;—;12.78;26.41;12.91;18.17;14.17;12.69;10.65;19.56;18.08;6.06;15.22;25.84
Price/Cash Flow;—;—;57.07;2.46;—;0.97;—;—;1.55;2.79;0.93;3.71;17.36
Price/Book;0.84;1.02;1.02;0.85;0.87;0.98;1.06;0.90;1.08;0.92;0.97;0.99;4.27
Price/Forward Earnings;11.06;13.11;17.83;—;—;11.66;12.25;10.88;13.04;12.05;14.27;11.96;—
PEG Ratio;—;2.62;3.57;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;—;7.82;3.79;7.75;5.50;7.06;7.88;9.39;5.11;5.53;16.49;6.97;—
Enterprise Value (Mil);-4.43;216.37;244.86;249.05;318.65;306.45;375.77;434.18;502.52;369.27;356.64;400.61;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;12.64;16.71;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;12.64;16.71;—
