Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.93;4.83;9.40;15.72;15.45;6.03;2.77;1.03;0.34;0.08;0.28;2.49;3.07
Price/Earnings;—;—;—;—;111.25;—;—;—;—;—;—;73.13;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;401.70;17.36
Price/Book;—;—;—;14.13;6.50;5.69;3.65;2.06;—;—;5.06;4.99;4.27
Price/Forward Earnings;—;20.79;666.67;31.75;58.14;36.76;-30.21;—;—;—;—;59.64;—
PEG Ratio;—;—;—;0.12;0.11;—;—;—;—;—;—;—;—
Earnings Yield %;-4.35;-9.62;-1.64;-0.23;0.90;-3.63;-6.34;-37.96;-150.27;-1,112.00;-1,823.67;-298.13;—
Enterprise Value (Mil);—;—;145.71;444.55;431.25;389.12;274.08;200.35;193.09;205.91;136.31;280.74;—
Enterprise Value/EBIT;—;—;—;1,284.83;116.87;—;—;—;—;—;-14.86;86.68;—
Enterprise Value/EBITDA;—;—;—;533.67;100.48;134.13;562.78;—;—;—;163.29;147.73;—
