Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;0.72;0.81;0.91;0.50;1.15;0.98;—;3.07
Price/Earnings;—;—;—;—;—;18.55;29.65;41.66;—;—;166.80;—;25.84
Price/Cash Flow;—;—;—;—;—;9.71;9.14;15.59;15.46;66.05;40.45;—;17.36
Price/Book;—;—;—;—;—;4.93;4.59;3.73;3.16;10.64;8.88;—;4.27
Price/Forward Earnings;—;—;—;—;—;34.84;43.10;19.53;15.85;35.84;69.44;42.08;—
PEG Ratio;—;—;—;—;—;—;—;0.39;0.32;—;—;—;—
Earnings Yield %;—;—;—;—;—;5.39;3.37;2.40;-3.67;-1.35;-1.23;0.87;—
Enterprise Value (Bil);—;—;—;—;—;0.55;0.69;0.87;0.83;2.21;2.00;1.04;—
Enterprise Value/EBIT;—;—;—;—;—;10.96;11.39;24.95;298.51;—;194.19;100.17;—
Enterprise Value/EBITDA;—;—;—;—;—;8.74;8.92;14.37;21.96;52.55;33.07;25.52;—
