Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.32;2.63;3.00;3.37;4.91;3.60;8.18;4.31;4.13;3.89;3.05;4.79;3.07
Price/Earnings;—;—;469.14;—;51.31;23.30;134.57;30.71;111.56;—;117.53;80.18;25.84
Price/Cash Flow;—;0.92;81.14;163.94;33.74;52.69;57.55;35.05;27.83;48.63;145.48;47.05;17.36
Price/Book;1.04;2.48;4.26;6.94;9.81;5.36;13.50;7.48;10.16;9.95;7.09;9.40;4.27
Price/Forward Earnings;-7.32;27.32;37.88;38.31;28.99;28.65;81.30;34.84;53.76;188.68;81.30;72.71;—
PEG Ratio;—;—;—;—;—;—;2.09;1.16;3.17;47.21;9.00;7.64;—
Earnings Yield %;-36.49;-1.11;0.21;-0.23;1.95;4.29;0.74;3.26;0.90;-0.37;-0.81;1.50;—
Enterprise Value (Bil);0.05;0.13;0.28;0.47;1.00;1.02;3.96;2.80;4.26;4.10;3.36;3.33;—
Enterprise Value/EBIT;—;—;121.85;—;45.51;21.68;85.23;52.44;95.95;631.93;300.59;113.26;—
Enterprise Value/EBITDA;—;78.18;46.77;259.47;40.04;19.74;61.62;35.44;40.17;54.86;44.04;42.76;—
