Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.96;7.77;13.31;9.31;8.46;4.62;3.18;4.70;2.72;4.77;12.11;4.59;3.07
Price/Earnings;20.68;30.60;55.22;51.85;53.62;55.87;73.32;359.60;36.17;—;35.69;76.44;25.84
Price/Cash Flow;15.29;24.78;34.34;27.42;33.82;21.27;18.63;19.06;10.83;—;17.11;18.80;17.36
Price/Book;5.20;8.24;14.21;9.83;9.34;4.23;3.38;5.16;2.53;4.27;7.03;4.43;4.27
Price/Forward Earnings;—;—;—;—;—;—;26.32;28.57;15.65;49.51;370.37;30.81;—
PEG Ratio;—;—;—;—;—;—;1.67;1.30;1.28;20.09;—;1.63;—
Earnings Yield %;4.84;3.27;1.81;1.93;1.87;1.79;1.36;0.28;2.76;-5.21;-6.48;0.44;—
Enterprise Value (Bil);3.24;5.91;11.72;10.49;12.07;6.13;4.29;6.78;3.39;3.95;5.78;5.34;—
Enterprise Value/EBIT;12.11;19.96;37.21;33.97;36.57;46.05;34.36;40.57;16.68;—;19.56;35.45;—
Enterprise Value/EBITDA;10.98;18.35;33.77;28.90;28.80;26.40;18.35;24.11;10.39;—;96.96;25.13;—
