Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;9.21;3.06;3.92;3.25;2.65;1.41;1.41;2.22;2.66;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;45.87;43.26;31.02;12.24;15.05;61.54;17.36
Price/Book;—;—;—;8.51;3.26;4.84;3.62;2.75;1.54;1.30;1.50;3.00;4.27
Price/Forward Earnings;—;—;—;—;322.58;-250.00;—;43.10;-158.73;-38.17;—;67.20;—
PEG Ratio;—;—;—;—;—;—;—;14.38;—;—;—;—;—
Earnings Yield %;—;—;—;-2.62;-6.08;-5.84;-3.13;-3.42;-10.53;-4.05;-3.19;-6.48;—
Enterprise Value (Bil);—;—;—;1.73;0.70;0.99;0.95;0.75;0.38;0.28;0.32;0.71;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-36.04;-26.08;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;11.58;35.39;-77.65;—
