Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.62;0.56;0.51;0.48;0.32;0.55;0.74;0.46;0.63;0.55;0.72;0.61;3.07
Price/Earnings;13.53;—;28.60;53.79;—;29.00;24.87;7.10;27.36;—;43.69;25.43;25.84
Price/Cash Flow;3.79;4.12;5.63;7.06;3.86;4.03;7.03;4.78;5.07;4.06;5.09;5.27;17.36
Price/Book;0.99;1.15;1.07;0.88;0.79;1.62;1.69;0.86;1.27;1.05;1.06;1.31;4.27
Price/Forward Earnings;7.25;11.24;11.09;9.65;5.97;—;—;5.62;—;—;6.26;—;—
PEG Ratio;0.36;0.40;0.40;0.34;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.39;-23.18;3.50;1.86;-3.38;3.45;4.02;14.08;3.65;-2.39;-1.05;4.39;—
Enterprise Value (Bil);1.17;1.02;0.97;0.88;1.70;2.16;2.27;2.36;2.76;2.17;1.94;2.12;—
Enterprise Value/EBIT;8.68;—;14.43;23.40;30.14;14.14;14.44;12.35;21.56;53.84;126.80;22.97;—
Enterprise Value/EBITDA;5.34;—;5.73;6.25;8.99;6.46;6.89;5.85;7.78;9.62;12.15;7.17;—
