Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.03;0.88;1.50;1.33;1.97;2.73;6.11;6.59;4.39;7.09;6.08;5.27;3.07
Price/Earnings;21.85;—;—;6.43;—;2,464.50;85.77;55.64;39.49;50.31;34.83;200.65;25.84
Price/Cash Flow;8.66;84.43;7.09;7.11;7.84;21.81;30.43;214.89;11.72;20.42;22.49;33.68;17.36
Price/Book;2.16;1.83;3.08;3.28;5.38;8.53;8.52;5.99;6.36;8.24;6.18;7.32;4.27
Price/Forward Earnings;5.44;8.03;7.28;29.67;43.86;21.65;19.61;21.93;24.27;36.10;39.37;30.92;—
PEG Ratio;0.28;0.64;0.58;2.35;—;2.17;1.84;1.78;2.55;3.63;3.12;3.02;—
Earnings Yield %;4.58;-12.81;-5.93;15.55;-7.66;0.04;1.17;1.80;2.53;1.99;2.87;1.75;—
Enterprise Value (Bil);1.02;0.91;1.32;2.14;2.46;3.60;11.31;10.62;12.51;21.71;18.06;11.45;—
Enterprise Value/EBIT;12.88;—;—;4.27;—;55.55;84.21;54.25;46.09;40.84;26.40;59.57;—
Enterprise Value/EBITDA;4.20;5.88;9.99;3.01;144.38;14.31;29.24;33.14;21.17;27.40;19.69;24.38;—
