Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.19;0.21;0.38;0.68;0.57;0.68;0.56;0.59;0.54;0.51;1.51;0.57;3.01
Price/Earnings;25.50;—;—;20.77;3.32;9.24;10.66;10.57;8.19;—;9.11;9.05;25.53
Price/Cash Flow;3.16;8.28;7.60;10.98;4.54;4.17;6.24;4.06;3.40;—;4.17;3.99;17.03
Price/Book;2.70;16.16;7.93;6.48;2.44;2.72;2.16;2.39;1.96;1.93;3.35;2.16;4.19
Price/Forward Earnings;3.49;7.59;13.77;7.20;6.77;11.38;10.20;8.10;6.72;-13.39;—;8.21;—
PEG Ratio;1.16;—;—;0.29;0.40;10.74;6.38;0.70;1.54;—;—;2.00;—
Earnings Yield %;3.92;-9.32;-1.90;4.81;30.09;10.83;9.38;9.46;12.21;-37.85;-42.19;4.01;—
Enterprise Value (Bil);11.04;14.40;20.03;31.63;27.41;29.72;29.58;32.04;37.14;32.65;38.12;31.24;—
Enterprise Value/EBIT;6.68;194.54;36.88;16.52;6.91;6.74;7.75;9.73;8.55;—;13.48;8.37;—
Enterprise Value/EBITDA;3.44;9.02;36.88;16.52;6.91;6.74;7.75;9.73;8.55;—;13.48;7.91;—
