Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.29;0.32;0.71;0.53;0.33;0.64;0.93;0.29;0.90;0.96;1.41;0.78;3.07
Price/Earnings;7.27;24.55;111.44;19.33;18.29;—;12.24;5.39;—;28.58;22.65;21.36;25.84
Price/Cash Flow;33.49;4.72;8.99;13.58;15.06;53.73;17.21;12.00;8.06;14.84;14.37;46.16;17.36
Price/Book;1.29;0.88;1.76;1.50;0.75;1.53;2.81;0.76;2.12;2.53;4.07;2.08;4.27
Price/Forward Earnings;11.98;10.32;17.01;11.89;—;—;—;—;—;—;11.00;—;—
PEG Ratio;1.20;0.86;1.13;0.68;—;—;—;—;—;—;0.73;—;—
Earnings Yield %;13.75;4.07;0.90;5.17;5.47;-5.12;8.17;18.54;-0.09;3.50;4.41;4.55;—
Enterprise Value (Bil);0.13;0.16;0.28;0.25;0.18;0.34;0.77;0.54;1.13;1.41;2.32;0.88;—
Enterprise Value/EBIT;4.60;18.98;72.14;11.46;12.74;52.41;9.60;7.51;27.96;16.89;17.48;22.64;—
Enterprise Value/EBITDA;4.18;10.33;20.72;8.30;7.62;18.23;8.46;6.33;13.77;11.03;13.06;13.09;—
