Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.56;0.63;1.15;1.87;1.41;1.46;1.03;0.51;0.97;1.19;1.11;1.07;3.07
Price/Earnings;13.60;17.59;28.65;36.13;28.53;36.06;71.59;53.79;—;22.14;17.19;53.25;25.84
Price/Cash Flow;6.59;6.71;35.12;14.30;19.17;22.49;71.72;23.67;12.64;8.45;9.09;25.40;17.36
Price/Book;1.11;1.16;2.13;3.35;2.85;3.25;2.33;1.28;2.79;2.44;2.13;2.55;4.27
Price/Forward Earnings;9.45;10.49;17.86;22.57;—;—;—;—;—;—;18.45;—;—
PEG Ratio;0.63;0.70;1.19;1.51;—;—;—;—;—;—;1.23;—;—
Earnings Yield %;7.35;5.68;3.49;2.77;3.51;2.77;1.40;1.86;-2.01;4.52;5.82;1.64;—
Enterprise Value (Mil);235.48;245.17;553.90;935.10;719.64;927.50;741.39;410.78;782.06;724.50;664.25;744.08;—
Enterprise Value/EBIT;9.40;9.36;17.18;23.82;20.35;31.43;33.76;—;121.51;20.01;17.56;45.31;—
Enterprise Value/EBITDA;5.70;5.60;11.02;16.21;13.17;17.02;13.95;14.33;20.31;10.77;10.01;15.87;—
