Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;78.03;106.09;3.32;2.75;1.43;2.14;2.08;18.13;3.01
Price/Earnings;—;—;—;—;228.69;310.91;—;155.70;48.29;—;178.25;—;25.53
Price/Cash Flow;—;—;—;—;—;—;7.05;5.84;2.39;13.53;14.75;6.78;17.03
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;4.19
Price/Forward Earnings;—;—;—;—;56.50;—;256.41;67.57;-40.98;37.88;22.32;132.76;—
PEG Ratio;—;—;—;—;56.64;—;—;—;—;—;—;—;—
Earnings Yield %;—;—;—;—;0.44;0.32;-1.71;0.64;2.07;-29.58;-29.39;-5.32;—
Enterprise Value (Bil);—;—;—;—;6.10;7.90;7.57;7.58;6.45;7.40;7.33;7.38;—
Enterprise Value/EBIT;—;—;—;—;496.20;642.82;29.97;24.79;15.50;—;16.96;123.95;—
Enterprise Value/EBITDA;—;—;—;—;361.35;468.12;11.29;9.91;7.74;50.82;62.72;79.63;—
