Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.29;0.20;0.48;0.27;0.18;0.17;0.20;0.20;0.25;0.75;0.60;0.32;3.07
Price/Earnings;6.08;6.87;13.02;—;—;94.00;—;—;—;—;12.55;111.47;25.84
Price/Cash Flow;3.02;7.15;6.31;4.69;4.81;6.45;—;14.25;11.24;26.31;9.21;14.60;17.36
Price/Book;0.48;0.36;0.89;0.50;0.33;0.29;0.31;0.22;0.26;0.80;0.80;0.40;4.27
Price/Forward Earnings;8.90;4.59;13.57;10.56;15.04;—;—;—;—;—;9.71;—;—
PEG Ratio;—;0.46;1.36;1.06;—;—;—;—;—;—;—;—;—
Earnings Yield %;16.45;14.56;7.68;-16.89;-3.04;1.06;-10.89;-2.27;-29.45;-6.50;7.97;-11.34;—
Enterprise Value (Mil);253.33;339.26;526.03;303.05;216.67;213.66;106.15;68.51;81.06;291.20;279.18;167.11;—
Enterprise Value/EBIT;7.12;8.60;9.37;—;49.76;—;—;—;—;—;9.12;-5.71;—
Enterprise Value/EBITDA;5.57;6.28;7.27;—;11.42;12.31;—;—;—;—;6.70;7.84;—
