Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.43;1.43;2.46;3.12;2.19;2.11;2.37;2.27;2.88;3.52;2.26;2.53;3.07
Price/Earnings;57.38;39.15;38.34;66.99;562.41;—;—;48.63;72.84;353.58;296.60;317.22;25.84
Price/Cash Flow;11.11;9.32;12.49;21.81;13.32;15.69;13.39;13.06;16.96;17.17;14.04;14.78;17.36
Price/Book;—;—;3.90;3.50;2.37;2.24;2.52;2.30;2.81;3.53;3.12;2.59;4.27
Price/Forward Earnings;10.26;13.62;17.99;21.74;12.69;12.22;13.85;12.09;13.83;19.42;18.18;14.42;—
PEG Ratio;0.51;0.91;3.13;1.94;1.16;1.36;1.39;1.07;1.09;1.39;1.30;1.24;—
Earnings Yield %;1.74;2.55;2.61;1.49;0.18;-0.91;-0.60;2.06;1.37;0.28;0.34;0.35;—
Enterprise Value (Bil);1.84;1.86;2.56;4.04;2.90;2.65;3.12;3.13;4.15;4.85;3.81;3.43;—
Enterprise Value/EBIT;25.18;20.38;24.87;79.46;44.12;138.08;103.08;28.03;38.21;51.61;58.09;87.50;—
Enterprise Value/EBITDA;14.72;12.61;16.23;28.68;17.03;20.13;22.43;15.37;20.84;25.39;23.23;20.49;—
